"id";"pesid";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_principal";"causa_acidente";"ordem_tipo_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"id_veiculo";"tipo_veiculo";"marca";"ano_fabricacao_veiculo";"tipo_envolvido";"estado_fisico";"idade";"sexo";"ilesos";"feridos_leves";"feridos_graves";"mortos";"latitude";"longitude";"regional";"delegacia";"uop"
138405;299513;2018-06-07;"quinta-feira";"12:15:00";"RS";285;455,9;"IJUI";"Sim";"Falta de Atenção à Condução";1;"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";244526;"Motocicleta";"YAMAHA/FACTOR YBR125 K";2012;"Condutor";"Lesões Leves";20;"Masculino";0;1;0;0;"-28.385244";"-53.888424";"SR-RS";"DEL9/10";"UOP01/RS"
138405;299723;2018-06-07;"quinta-feira";"12:15:00";"RS";285;455,9;"IJUI";"Sim";"Falta de Atenção à Condução";1;"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Sim";244526;"Motocicleta";"YAMAHA/FACTOR YBR125 K";2012;"Testemunha";"Não Informado";NA;"Não Informado";0;0;0;0;"-28.385244";"-53.888424";"SR-RS";"DEL9/10";"UOP01/RS"
138408;299509;2018-05-14;"segunda-feira";"08:15:00";"RS";158;359;"DILERMANDO DE AGUIAR";"Sim";"Falta de Atenção à Condução";1;"Colisao transversal";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Curva";"Não";244522;"Automóvel";"VW/FUSCA 1300 L";1976;"Condutor";"Ileso";31;"Masculino";1;0;0;0;"-29.776739";"-54.099648";"SR-RS";"DEL9/9";"UOP01/RS"
138408;299510;2018-05-14;"segunda-feira";"08:15:00";"RS";158;359;"DILERMANDO DE AGUIAR";"Sim";"Falta de Atenção à Condução";1;"Colisao transversal";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Curva";"Não";244523;"Automóvel";"VW/GOL 1.0 GIV";2012;"Condutor";"Ileso";52;"Feminino";1;0;0;0;"-29.776739";"-54.099648";"SR-RS";"DEL9/9";"UOP01/RS"
138464;299670;2018-06-07;"quinta-feira";"15:40:00";"RS";116;201;"PICADA CAFE";"Sim";"Velocidade Incompatível";1;"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Sol";"Simples";"Curva";"Não";244638;"Caminhão-trator";"SCANIA/T124 GA4X2NZ 400";2005;"Condutor";"Lesões Leves";38;"Masculino";0;1;0;0;"-29.48811594";"-51.14224792";"SR-RS";"DEL9/5";"UOP02/RS"
138477;299797;2018-06-07;"quinta-feira";"17:35:00";"RS";290;718;"URUGUAIANA";"Sim";"Defeito Mecânico no Veículo";1;"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";244738;"Caminhão";"MERCEDES BENZ/";1964;"Passageiro";"Lesões Leves";38;"Masculino";0;1;0;0;"-29.774612";"-57.04377";"SR-RS";"DEL9/13";"UOP01/RS"
138477;299799;2018-06-07;"quinta-feira";"17:35:00";"RS";290;718;"URUGUAIANA";"Sim";"Defeito Mecânico no Veículo";1;"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Reta";"Não";244738;"Caminhão";"MERCEDES BENZ/";1964;"Condutor";"Ileso";62;"Masculino";1;0;0;0;"-29.774612";"-57.04377";"SR-RS";"DEL9/13";"UOP01/RS"
138488;299829;2018-06-07;"quinta-feira";"18:35:00";"RS";158;327,6;"SANTA MARIA";"Sim";"Não guardar distância de segurança";1;"Colisao traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";244768;"Automóvel";"VW/GOL CL";1987;"Condutor";"Ileso";24;"Masculino";1;0;0;0;"-29.714945";"-53.810829";"SR-RS";"DEL9/9";"UOP01/RS"
138488;299832;2018-06-07;"quinta-feira";"18:35:00";"RS";158;327,6;"SANTA MARIA";"Sim";"Não guardar distância de segurança";1;"Colisao traseira";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";244770;"Automóvel";"FIAT/DOBLO HLX 1.8 FLEX";2010;"Condutor";"Ileso";53;"Masculino";1;0;0;0;"-29.714945";"-53.810829";"SR-RS";"DEL9/9";"UOP01/RS"
138505;299807;2018-06-07;"quinta-feira";"19:40:00";"RS";116;249,3;"SAO LEOPOLDO";"Sim";"Defeito Mecânico no Veículo";1;"Derramamento de carga";"Sem Vítimas";"Plena Noite";"Crescente";"Céu Claro";"Múltipla";"Curva";"Sim";244734;"Caminhão";"M.BENZ/AX2044 ZAMBONI CA";2011;"Condutor";"Ileso";35;"Masculino";1;0;0;0;"-29.785237";"-51.1631333";"SR-RS";"DEL9/1";"UOP02/RS"
138506;299753;2018-05-14;"segunda-feira";"06:50:00";"RS";470;226,5;"GARIBALDI";"Sim";"Velocidade Incompatível";1;"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";244716;"Motocicleta";"YAMAHA/TDM 225";2002;"Condutor";"Lesões Leves";20;"Masculino";0;1;0;0;"-29.25487786";"-51.51148081";"SR-RS";"DEL9/6";"UOP01/RS"
138507;299758;2018-05-02;"quarta-feira";"08:40:00";"RS";285;143;"VACARIA";"Sim";"Condutor Dormindo";1;"Colisao frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";244725;"Automóvel";"GM/CORSA HATCH MAXX";2008;"Condutor";"Lesões Graves";59;"Masculino";0;0;1;0;"-28.373508";"-51.08408";"SR-RS";"DEL9/5";"UOP03/RS"
138507;299760;2018-05-02;"quarta-feira";"08:40:00";"RS";285;143;"VACARIA";"Sim";"Condutor Dormindo";1;"Colisao frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";244726;"Caminhonete";"HYUNDAI/HR HDB";2013;"Condutor";"Lesões Graves";34;"Masculino";0;0;1;0;"-28.373508";"-51.08408";"SR-RS";"DEL9/5";"UOP03/RS"
138507;299761;2018-05-02;"quarta-feira";"08:40:00";"RS";285;143;"VACARIA";"Sim";"Condutor Dormindo";1;"Colisao frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";244726;"Caminhonete";"HYUNDAI/HR HDB";2013;"Passageiro";"Ileso";37;"Masculino";1;0;0;0;"-28.373508";"-51.08408";"SR-RS";"DEL9/5";"UOP03/RS"
